objectid,x,y,date,city,country,venue,recorded,available,tour,regdates,the_geom,cartodb_id,created_at,updated_at,year
84,-113.468697,53.550095,2001-07-02 00:00:00+00,Edmonton,Canada,Polish Hall,true,false,2001 Summer Mid-West/Canada Tour,0,0101000020E6100000EFAEB321FF5D5CC0B858518369C64A40,84,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,2001
85,-66.665597,45.9454,1998-07-24 00:00:00+00,Fredericton,Canada,New Maryland Recreation Center,true,true,1998 Summer Canada/USA Tour,0,0101000020E610000035D4282499AA50C0B7D100DE02F94640,85,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1998
86,-80.249699,43.550096,1989-09-30 00:00:00+00,Guelph,Canada,Loft,false,false,1989 Canada/NE Tour,0,0101000020E610000003B68311FB0F54C089D4B48B69C64540,86,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1989
87,-80.249699,43.550096,1993-09-08 00:00:00+00,Guelph,Canada,Peter Clark Hall University of Guelph,true,false,1993 Fall USA/Canda Tour,0,0101000020E610000003B68311FB0F54C089D4B48B69C64540,87,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
88,-63.5724,44.645298,1998-07-25 00:00:00+00,Halifax,Canada,Olympic Bingo,true,true,1998 Summer Canada/USA Tour,0,0101000020E61000007E1D386744C94FC04C16F71F99524640,88,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1998
89,-119.485696,49.883096,2001-07-05 00:00:00+00,Kelowna,Canada,Performance Centre,true,false,2001 Summer Mid-West/Canada Tour,0,0101000020E610000013F3ACA415DF5DC03D9D2B4A09F14840,89,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,2001
90,-73.587801,45.508798,1998-07-21 00:00:00+00,Montreal,Canada,Spectrum,true,false,1998 Summer Canada/USA Tour,0,0101000020E610000097E315889E6552C09622F94A20C14640,90,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1998
91,-73.587801,45.508798,1991-08-02 00:00:00+00,Montreal,Canada,Rialto Theatre,true,false,1991 Summer/Fall USA/Canada Tour,0,0101000020E610000097E315889E6552C09622F94A20C14640,91,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
92,-73.587801,45.508798,1995-09-23 00:00:00+00,Montreal,Canada,Metropolis,true,false,1995 Fall USA/Canada Tour,0,0101000020E610000097E315889E6552C09622F94A20C14640,92,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1995
93,-73.587801,45.508798,1993-09-12 00:00:00+00,Montreal,Canada,Metropolis,true,false,1993 Fall USA/Canda Tour,0,0101000020E610000097E315889E6552C09622F94A20C14640,93,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1993
