x,y,date,city,country,venue,tour,year
114.157697,22.285497,1996-11-02 00:00:00+00,Hong Kong,Hong Kong,South Island School Hall,1996 US/Japan/Hong Kong/Australia Tour,1996
19.039896,47.498001,1992-06-11 00:00:00+00,Budapest,Hungary,Black Hole/Fekete Lyuk,1992 Spring European Tour,1992
-21.895397,64.135497,1999-04-27 00:00:00+00,Reykjavik,Iceland,National Radio Building,1999 Spring UK/Ireland Tour,1999
-5.933297,54.583298,1992-05-12 00:00:00+00,Belfast,England,Queen's University Mandela Hall,1992 Spring European Tour,1992
-5.933297,54.583298,1989-11-24 00:00:00+00,Belfast,England,Arts Centre,1989 Fall European Tour,1989
-5.933297,54.583298,1990-09-16 00:00:00+00,Belfast,England,Belfast Art College,1990 Fall European Tour,1990
-5.933297,54.583298,1995-05-09 00:00:00+00,Belfast,England,Queen's Hall,1995 Spring/Summer European Tour,1995
-8.470597,51.897995,1999-05-08 00:00:00+00,Cork,Ireland,Nancy Spains,1999 Spring UK/Ireland Tour,1999
-9.0503,51.5867,2002-10-27 00:00:00+00,Derry,Ireland,Nerve Centre,2002 Fall UK/Ireland Tour,2002
-6.248899,53.333096,1990-09-17 00:00:00+00,Dublin,Ireland,McGonagles,1990 Fall European Tour,1990
-6.248899,53.333096,2002-10-25 00:00:00+00,Dublin,Ireland,Red Box,2002 Fall UK/Ireland Tour,2002
-6.248899,53.333096,1988-11-29 00:00:00+00,Dublin,Ireland,McGonagles,1988 Fall European Tour,1988
-6.248899,53.333096,1995-05-10 00:00:00+00,Dublin,Ireland,Ormond Center,1995 Spring/Summer European Tour,1995
-6.248899,53.333096,1989-11-23 00:00:00+00,Dublin,Ireland,McGonagles,1989 Fall European Tour,1989
-6.248899,53.333096,1999-05-09 00:00:00+00,Dublin,Ireland,Temple Bar Music Center,1999 Spring UK/Ireland Tour,1999
-6.248899,53.333096,1992-05-11 00:00:00+00,Dublin,Ireland,SFX,1992 Spring European Tour,1992
-7.252199,52.654199,1999-05-07 00:00:00+00,Kilkenny,Ireland,Friary Hall,1999 Spring UK/Ireland Tour,1999
-8.623099,52.664699,2002-10-26 00:00:00+00,Limerick,Ireland,Savoy,2002 Fall UK/Ireland Tour,2002
11.338798,44.493798,1995-06-16 00:00:00+00,Bologna,Italy,Kactus Radio Festival Castel Maggiore,1995 Spring/Summer European Tour,1995
11.338798,44.493798,1990-10-26 00:00:00+00,Bologna,Italy,Fabrikka,1990 Fall European Tour,1990
15.0872,37.502098,1999-10-03 00:00:00+00,Catania,Italy,Porto Catania Outdoor Show,1999 Fall European Tour,1999
15.0872,37.502098,1995-06-18 00:00:00+00,Catania,Italy,Porto Catania Outdoor Show,1995 Spring/Summer European Tour,1995
11.249997,43.7667,1995-06-14 00:00:00+00,Florence,Italy,CPA,1995 Spring/Summer European Tour,1995
11.249997,43.7667,1999-10-01 00:00:00+00,Florence,Italy,CPA,1999 Fall European Tour,1999
12.896898,46.112499,1995-06-22 00:00:00+00,G.De Spilimbergo,Italy,Rototom,1995 Spring/Summer European Tour,1995
9.195098,40.161799,1995-06-17 00:00:00+00,Gavoi,Italy,Covo Dei Nottambuli,1995 Spring/Summer European Tour,1995
12.326696,45.438598,1999-09-29 00:00:00+00,Marghera,Italy,Rivolta,1999 Fall European Tour,1999
9.189496,45.464294,1995-06-12 00:00:00+00,Milan,Italy,Cascina Monlue,1995 Spring/Summer European Tour,1995
9.189496,45.464294,1999-10-02 00:00:00+00,Milan,Italy,Leoncavallo,1999 Fall European Tour,1999
11.433405,48.260593,1990-10-25 00:00:00+00,Milan,Italy,Leoncavallo,1990 Fall European Tour,1990
9.189496,45.464294,1988-11-19 00:00:00+00,Milan,Italy,Leoncavallo,1988 Fall European Tour,1988
10.925397,44.647799,1992-06-08 00:00:00+00,Modena,Italy,Dancing Condor,1992 Spring European Tour,1992
11.209499,46.543297,1988-11-16 00:00:00+00,Naples,Italy,Diamond Dogs,1988 Fall European Tour,1988
11.881799,45.415197,1995-06-13 00:00:00+00,Padova,Italy,C.S.O Pedro,1995 Spring/Summer European Tour,1995
11.881799,45.415197,1992-06-09 00:00:00+00,Padova,Italy,C.S.O Pedro,1992 Spring European Tour,1992
10.396597,43.715497,1992-06-06 00:00:00+00,Pisa,Italy,Macchia Nera,1992 Spring European Tour,1992
10.396597,43.715497,1988-11-18 00:00:00+00,Pisa,Italy,Social Center,1988 Fall European Tour,1988
10.396597,43.715497,1990-10-28 00:00:00+00,Pisa,Italy,Macchia Nera,1990 Fall European Tour,1990
12.483896,41.894697,1992-06-07 00:00:00+00,Rome,Italy,Forte Prenestino,1992 Spring European Tour,1992
12.483896,41.894697,1990-10-27 00:00:00+00,Rome,Italy,Forte Prenestino,1990 Fall European Tour,1990
12.483896,41.894697,1988-11-17 00:00:00+00,Rome,Italy,Forte Prenestino,1988 Fall European Tour,1988
